,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Section,No plan,No Volume,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
0,2019-01-02,Vente en l'état futur d'achèvement,"407000,00",,,,B251,LE LAUREY OUEST,33260.0,LA TESTE-DE-BUCH,FZ,152,,1,,,,,,,,
1,2019-01-02,Vente en l'état futur d'achèvement,"407000,00",,,,B251,LE LAUREY OUEST,33260.0,LA TESTE-DE-BUCH,FZ,152,,1,,,,,,,,
2,2019-01-02,Vente,"385000,00",3.0,,ALL,2147,DES MOUSQUETAIRES,33260.0,LA TESTE-DE-BUCH,GH,184,,0,1.0,Maison,,79.0,4.0,S,,678.0
3,2019-01-03,Vente,"125000,00",75.0,,AV,0650,CHARLES DE GAULLE,33260.0,LA TESTE-DE-BUCH,FS,559,,0,,,,,,S,,483.0
4,2019-01-03,Vente,"60000,00",,,,B140,DADE,33260.0,LA TESTE-DE-BUCH,GA,217,,0,,,,,,S,,243.0
5,2019-01-03,Vente,"342000,00",3.0,,RUE,0836,DU DADE,33260.0,LA TESTE-DE-BUCH,GA,216,,0,1.0,Maison,,116.0,4.0,S,,283.0
6,2019-01-04,Vente,"180000,00",11.0,,RUE,2737,DE LA REGUE BLANQUE,33260.0,LA TESTE-DE-BUCH,FG,120,,1,3.0,Dépendance,,0.0,0.0,,,
7,2019-01-04,Vente,"180000,00",11.0,,RUE,2737,DE LA REGUE BLANQUE,33260.0,LA TESTE-DE-BUCH,FG,120,,1,3.0,Dépendance,,0.0,0.0,,,
8,2019-01-04,Vente,"180000,00",11.0,,RUE,2737,DE LA REGUE BLANQUE,33260.0,LA TESTE-DE-BUCH,FG,120,,1,2.0,Appartement,,68.0,4.0,,,
9,2019-01-04,Vente,"5000,00",3.0,,RUE,3150,VICTOR HUGO,33260.0,LA TESTE-DE-BUCH,FR,613,,1,3.0,Dépendance,,0.0,0.0,,,
10,2019-01-07,Vente en l'état futur d'achèvement,"319000,00",4.0,,RUE,3140,DE LA VICTOIRE,33260.0,LA TESTE-DE-BUCH,GB,248,,1,,,,,,,,
11,2019-01-08,Vente,"261850,00",24.0,,RUE,1260,DU GEN DE CASTELNAU,33260.0,LA TESTE-DE-BUCH,FY,193,,1,3.0,Dépendance,,0.0,0.0,,,
