,date_mutation,year_mutation,nature_mutation,valeur_fonciere,numero_voie,suffixe_numero,type_voie,code_voie,voie,code_postal,commune,section,numero_plan,numero_volume,nombre_lots,code_type_local,type_local,identifiant_local,surface_relle_bati,nombre_pieces_principales,nature_culture,nature_culture_speciale,surface_terrain,unique
8517,2014-01-03,2014,Vente,95000.0,,,RUE,2049,MICHEL LABARTHE,33260.0,LA TESTE-DE-BUCH,GH,33529000GH0006,,1,2.0,Appartement,,62.0,3.0,,,,2014-01-03 95000.0
7816,2014-01-03,2014,Vente,82000.0,13.0,B,RUE,1480,GUYNEMER,33260.0,LA TESTE-DE-BUCH,GB,33529000GB0036,,0,1.0,Maison,,80.0,4.0,S,,678.0,2014-01-03 82000.0
6029,2014-01-06,2014,Vente,200000.0,21.0,,CHE,0461,DE BRAOUET,33260.0,LA TESTE-DE-BUCH,FY,33529000FY0736,,0,,,,,,AG,,280.0,2014-01-06 200000.0
1300,2014-01-06,2014,Vente,157000.0,9000.0,,ALL,1926,MARIE DUFAURE CAZAUX,33260.0,LA TESTE-DE-BUCH,CR,33529000CR0978,,1,1.0,Maison,,84.0,4.0,,,,2014-01-06 157000.0
1252,2014-01-08,2014,Vente,246000.0,11.0,,ALL,2751,DES REINETTES CAZAUX,33260.0,LA TESTE-DE-BUCH,CR,33529000CR0565,,0,1.0,Maison,,89.0,4.0,S,,840.0,2014-01-08 246000.0
9297,2014-01-08,2014,Vente,245000.0,78.0,,RUE,2190,NOTRE DAME DES MONTS,33260.0,LA TESTE-DE-BUCH,GK,33529000GK0154,,1,3.0,Dépendance,,0.0,0.0,,,,2014-01-08 245000.0
3676,2014-01-09,2014,Adjudication,182000.0,9.0,,RUE,0880,DU DOCTEUR SEMIAC,33260.0,LA TESTE-DE-BUCH,FR,33529000FR0375,,0,1.0,Maison,,133.0,4.0,S,,623.0,2014-01-09 182000.0
5936,2014-01-09,2014,Vente en l'état futur d'achèvement,259866.21,,,,,,,LA TESTE DE BUCH,FY,33529000FY0525,,1,,,,,,,,,2014-01-09 259866.21
546,2014-01-10,2014,Vente,330000.0,50.0,,BD,1846,LOUIS LIGNON PYLA,33115.0,LA TESTE-DE-BUCH,BS,33529000BS0426,,0,1.0,Maison,,40.0,3.0,S,,344.0,2014-01-10 330000.0
1932,2014-01-10,2014,Vente,111800.0,,,,B113,CAZAUX SUD,33260.0,LA TESTE-DE-BUCH,CW,33529000CW0229,,0,,,,,,L,,540.0,2014-01-10 111800.0
1103,2014-01-10,2014,Vente,750000.0,,,,B094,CAP DU MONT DE HAUT,33260.0,LA TESTE-DE-BUCH,CN,33529000CN0012,,0,,,,,,AB,,20644.0,2014-01-10 750000.0
4380,2014-01-10,2014,Vente,89000.0,24.0,,AV,0650,CHARLES DE GAULLE,33260.0,LA TESTE-DE-BUCH,FR,33529000FR0892,,0,1.0,Maison,,96.0,4.0,S,,204.0,2014-01-10 89000.0
6017,2014-01-13,2014,Vente,207800.0,2.0,B,RUE,1170,FRANCON,33260.0,LA TESTE-DE-BUCH,FY,33529000FY0697,,0,1.0,Maison,,60.0,2.0,S,,524.0,2014-01-13 207800.0
10249,2014-01-14,2014,Vente,227240.0,,,,B054,BONNEVAL,33260.0,LA TESTE-DE-BUCH,HA,33529000HA0633,,0,,,,,,AB,,3832.0,2014-01-14 227240.0
4785,2014-01-15,2014,Vente,150000.0,72.0,,RUE,1240,GASTON DE FOIX,33260.0,LA TESTE-DE-BUCH,FW,33529000FW0392,,0,,,,,,AB,,597.0,2014-01-15 150000.0
